Approximate Location,Poverty,PM2.5,Asthma,Area Type
Los Angeles,62.6,12.25164028,76.1,Inner LA
Compton,43.5,12.25258001,86.77,Inner LA
Compton,56.8,12.21666021,114.33,Inner LA
Los Angeles,71.7,12.57687534,65.53,Inner LA
Los Angeles,51.5,12.0660607,64.77,Inner LA
South El Monte,61.1,12.00416809,65.92,Inner LA
Los Angeles,73.5,12.0902374,129.2,Inner LA
Los Angeles,68.6,12.09940492,68.48,Inner LA
Los Angeles,71.9,12.15802236,72.02,Inner LA
El Monte,43.5,11.94103408,60.57,Inner LA
Los Angeles,57.5,12.14495497,84.75,Inner LA
Los Angeles,58.9,12.41537427,51.49,Inner LA
Los Angeles,82.3,12.27407804,76.1,Inner LA
Los Angeles,44.5,12.25156535,134.16,Inner LA
South Gate,40.1,12.04869771,50.83,Inner LA
Los Angeles,63.4,11.2284956,77.81,Inner LA
Los Angeles,63.7,12.0998549,113.88,Inner LA
Florence-Graham,53.4,12.07139901,101.27,Inner LA
Los Angeles,44.3,12.06226955,70.46,Inner LA
Long Beach,57.6,12.4277485,84.23,Inner LA
Commerce,50.1,12.15074524,56.57,Inner LA
Compton,54.7,12.21728053,92.82,Inner LA
Bell Gardens,80.1,12.02968272,54.25,Inner LA
East Los Angeles,56.4,12.21812171,62.39,Inner LA
Los Angeles,86.9,12.0688233,136.47,Inner LA
Los Angeles,66.5,12.07407493,110.5,Inner LA
Los Angeles,66.8,12.55763366,79.94,Inner LA
Compton,54.8,12.15347903,95.67,Inner LA
Los Angeles,65.4,12.84192716,81.13,Inner LA
Los Angeles,52.7,12.05259566,113.88,Inner LA
Los Angeles,46.1,11.84882762,88.26,Inner LA
Bell Gardens,61.9,12.02968272,54.25,Inner LA
Willowbrook,61.4,12.09535727,120.42,Inner LA
West Rancho Dominguez,45.9,12.11292708,121.6,Inner LA
Bell,55.4,12.04351864,54.25,Inner LA
Bell Gardens,61.5,12.02588499,54.25,Inner LA
Los Angeles,48.6,12.29587676,77.98,Inner LA
Long Beach,56.9,12.50092519,94.42,Inner LA
Cudahy,47.1,12.06526369,43.15,Inner LA
Los Angeles,58.9,11.73680492,76.33,Inner LA
Los Angeles,61.2,12.14625901,113.45,Inner LA
Long Beach,37.7,12.78098946,88.49,Inner LA
Los Angeles,68.1,12.116733,113.88,Inner LA
Willowbrook,55.9,12.0701055,122.71,Inner LA
Los Angeles,56.0,11.70137136,103.61,Inner LA
Cudahy,57.9,12.03778507,46.98,Inner LA
Los Angeles,62.7,11.81424877,93.94,Inner LA
South El Monte,48.3,12.03688662,65.92,Inner LA
Los Angeles,60.8,12.25398221,76.1,Inner LA
Los Angeles,59.9,11.52566258,79.39,Inner LA
Commerce,45.6,12.14921007,50.87,Inner LA
Los Angeles,59.6,12.53587816,41.43,Inner LA
Long Beach,72.1,11.69108081,127.96,Inner LA
Long Beach,51.2,11.72604257,79.55,Inner LA
Los Angeles,68.1,12.13275518,113.88,Inner LA
Los Angeles,77.8,12.16800708,80.43,Inner LA
Los Angeles,50.1,11.94583615,99.57,Inner LA
Long Beach,38.8,12.07851936,94.42,Inner LA
Long Beach,66.2,12.07684795,68.25,Inner LA
Florence-Graham,67.6,12.136112,80.16,Inner LA
Los Angeles,60.3,12.15734144,69.35,Inner LA
Huntington Park,59.9,12.14111892,60.74,Inner LA
Los Angeles,69.8,12.06000567,86.23,Inner LA
Los Angeles,39.2,12.30827709,70.82,Inner LA
